City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
1,Butaritari,KI,82.24,few clouds,3.0707,172.7902,Isles Sunset Lodge
8,Isabela,PH,82.45,overcast clouds,6.7085,121.9711,Isawad Resort
9,Big Spring,US,87.28,clear sky,32.2504,-101.4787,Hampton Inn & Suites Big Spring
10,Kapaa,US,82.38,light rain,22.0752,-159.319,Sheraton Kauai Coconut Beach Resort
11,Kahului,US,86.02,scattered clouds,20.8947,-156.47,Maui Seaside Hotel
12,Vaini,TO,82.56,few clouds,-21.2,-175.2,Keleti Beach Resort
17,Yeppoon,AU,82.18,clear sky,-23.1333,150.7333,Villa Mar Colina
19,Kloulklubed,PW,84.36,overcast clouds,7.0419,134.2556,Storyboard Beach Resort
24,Porto Novo,BJ,80.42,light rain,6.4965,2.6036,Tour Eiffel Hotel Benin
25,Meulaboh,ID,78.89,overcast clouds,4.1363,96.1285,Kost Pria
27,Kavieng,PG,82.51,moderate rain,-2.5744,150.7967,Nusa Island Retreat
29,Mlonggo,ID,82.29,overcast clouds,-6.5333,110.7,Asia Metal Art
35,Iralaya,HN,82.49,overcast clouds,15.0,-83.2333,Iglesia morava renovada
46,Coahuayana,MX,81.16,overcast clouds,18.7333,-103.6833,El rranchito michuacan de ocampos
49,Nabire,ID,86.99,broken clouds,-3.3667,135.4833,Hotel Nusantara Nabire
51,Nhamunda,BR,79.41,overcast clouds,-2.1861,-56.7131,Pousada Da Praia
53,Sabang,ID,82.31,overcast clouds,5.8933,95.3214,Hotel Citra
58,Boa Vista,BR,78.78,scattered clouds,2.8197,-60.6733,Aipana Plaza Hotel
59,Port Keats,AU,87.84,clear sky,-14.25,129.55,TDC Village (Hundred Man Camp)
66,Hasaki,JP,77.4,overcast clouds,35.7333,140.8333,Hotel Sunrise Choshi
70,Bengkulu,ID,79.95,few clouds,-3.8004,102.2655,Grage Hotel Bengkulu
71,Atuona,PF,78.01,few clouds,-9.8,-139.0333,Villa Enata
72,Puerto Ayacucho,VE,76.75,overcast clouds,5.6639,-67.6236,Posada Turistica Manapiare
83,Manaure,CO,84.76,clear sky,11.7751,-72.4445,Hotel Palaaima
88,Isangel,VU,78.91,broken clouds,-19.55,169.2667,Tanna Lodge
91,Agua Dulce,MX,82.18,overcast clouds,18.1333,-94.1333,Hotel Victoria
96,Hilo,US,82.13,light rain,19.7297,-155.09,Hilo Hawaiian Hotel
97,Davila,PH,80.58,overcast clouds,18.4726,120.5763,Blue Ridge Beach Resort
101,Bogalusa,US,78.55,clear sky,30.791,-89.8487,Traveler's Rest Motel
114,Avarua,CK,77.05,overcast clouds,-21.2078,-159.775,Paradise Inn
117,Atchison,US,79.03,overcast clouds,39.563,-95.1216,"Quality Inn, Atchison"
120,Santa Rosa,PH,84.18,overcast clouds,14.3122,121.1114,Erlyn’s Sta Rosa City Home
129,Georgetown,MY,80.89,few clouds,5.4112,100.3354,Cititel Penang
132,Omboue,GA,76.98,light rain,-1.5746,9.2618,Hotel Olako
134,Sola,VU,83.07,broken clouds,-13.8833,167.55,Leumerus Bungalows
136,Kita,ML,78.49,overcast clouds,13.0349,-9.4895,Hôtel Chat Rouge
139,Gushikawa,JP,82.4,mist,26.3544,127.8686,Kirari Guest House
141,Tautira,PF,82.42,scattered clouds,-17.7333,-149.15,Pension Oaoa
143,Karratha,AU,84.63,clear sky,-20.7377,116.8463,ibis Styles Karratha
151,Vanimo,PG,85.95,overcast clouds,-2.6741,141.3028,Vahmoneh Lodge Vanimo
153,Sakakah,SA,76.57,clear sky,29.9697,40.2064,Fakhamat Al Orjoana Apartment
154,Sawakin,SD,82.6,overcast clouds,19.1059,37.3321,فندق الدويم
157,Padang,ID,78.85,overcast clouds,-0.9492,100.3543,Mercure Padang
