City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
0,Zaranj,AF,30.9667,61.8833,60.76,29,0,26.22,clear sky
1,Butaritari,KI,3.0707,172.7902,82.24,75,12,12.41,few clouds
2,Punta Arenas,CL,-53.15,-70.9167,41.11,60,0,9.22,clear sky
3,Hobart,AU,-42.8794,147.3294,61.02,66,75,1.99,broken clouds
4,Rikitea,PF,-23.1203,-134.9692,74.68,77,100,10.33,overcast clouds
5,Hofn,IS,64.2539,-15.2082,47.62,94,90,5.03,overcast clouds
6,Puerto Ayora,EC,-0.7393,-90.3518,69.55,92,100,10.0,overcast clouds
7,Kidal,ML,18.4411,1.4078,81.86,11,2,11.81,clear sky
8,Isabela,PH,6.7085,121.9711,82.45,79,100,1.59,overcast clouds
9,Big Spring,US,32.2504,-101.4787,87.28,28,1,5.99,clear sky
10,Kapaa,US,22.0752,-159.319,82.38,72,75,5.99,light rain
11,Kahului,US,20.8947,-156.47,86.02,69,40,19.57,scattered clouds
12,Vaini,TO,-21.2,-175.2,82.56,83,20,6.91,few clouds
13,Sambava,MG,-14.2667,50.1667,71.22,78,12,14.36,few clouds
14,Chumikan,RU,54.7183,135.315,44.85,55,80,18.03,broken clouds
15,Busselton,AU,-33.65,115.3333,56.05,51,69,9.4,broken clouds
16,Pevek,RU,69.7008,170.3133,25.25,76,100,0.81,overcast clouds
17,Yeppoon,AU,-23.1333,150.7333,82.18,67,0,12.44,clear sky
18,Bethel,US,41.3712,-73.414,67.35,88,75,0.0,broken clouds
19,Kloulklubed,PW,7.0419,134.2556,84.36,79,98,20.69,overcast clouds
20,Saint-Joseph,RE,-21.3667,55.6167,68.38,79,49,14.97,light rain
21,Kodiak,US,57.79,-152.4072,53.11,50,20,9.22,few clouds
22,Mataura,NZ,-46.1927,168.8643,54.48,65,70,5.03,broken clouds
23,Albany,US,42.6001,-73.9662,65.44,90,100,1.01,overcast clouds
24,Porto Novo,BJ,6.4965,2.6036,80.42,89,100,5.48,light rain
25,Meulaboh,ID,4.1363,96.1285,78.89,82,100,3.36,overcast clouds
26,Tuktoyaktuk,CA,69.4541,-133.0374,30.2,93,90,3.44,overcast clouds
27,Kavieng,PG,-2.5744,150.7967,82.51,76,88,6.17,moderate rain
28,Carnarvon,AU,-24.8667,113.6333,64.47,48,0,21.85,clear sky
29,Mlonggo,ID,-6.5333,110.7,82.29,57,99,10.87,overcast clouds
30,Grindavik,IS,63.8424,-22.4338,47.89,100,75,11.5,broken clouds
31,Monte Carmelo,BR,-18.7247,-47.4986,71.37,78,100,8.66,overcast clouds
32,Mehamn,NO,71.0357,27.8492,36.61,72,100,9.95,overcast clouds
33,Berdigestyakh,RU,62.0989,126.6992,34.65,87,100,8.86,overcast clouds
34,Hermanus,ZA,-34.4187,19.2345,59.81,86,7,11.86,clear sky
35,Iralaya,HN,15.0,-83.2333,82.49,85,99,9.06,overcast clouds
36,Khatanga,RU,71.9667,102.5,16.9,97,99,3.31,overcast clouds
37,Vila Velha,BR,-20.3297,-40.2925,69.75,78,75,4.61,broken clouds
38,Ushuaia,AR,-54.8,-68.3,40.66,65,40,21.85,scattered clouds
39,Klaksvik,FO,62.2266,-6.589,50.92,98,100,12.84,overcast clouds
40,Qaanaaq,GL,77.484,-69.3632,21.22,75,89,8.3,overcast clouds
41,Sorland,NO,67.667,12.6934,51.93,86,100,18.54,overcast clouds
42,Esperance,AU,-33.8667,121.9,57.04,60,99,15.03,overcast clouds
43,Kruisfontein,ZA,-34.0033,24.7314,56.88,71,100,15.43,overcast clouds
44,Rusape,ZW,-18.5278,32.1284,59.99,74,0,5.28,clear sky
45,Cape Town,ZA,-33.9258,18.4232,58.12,93,20,4.61,few clouds
46,Coahuayana,MX,18.7333,-103.6833,81.16,87,97,1.79,overcast clouds
47,Ponta Do Sol,PT,32.6667,-17.1,72.23,76,98,3.06,overcast clouds
48,Jamestown,US,42.097,-79.2353,69.44,77,90,4.61,overcast clouds
49,Nabire,ID,-3.3667,135.4833,86.99,66,62,2.62,broken clouds
50,Tsagan Aman,RU,47.5639,46.7218,39.0,38,0,7.0,clear sky
51,Nhamunda,BR,-2.1861,-56.7131,79.41,74,87,3.53,overcast clouds
52,Bredasdorp,ZA,-34.5322,20.0403,60.12,72,72,10.36,broken clouds
53,Sabang,ID,5.8933,95.3214,82.31,75,100,19.62,overcast clouds
54,Arraial Do Cabo,BR,-22.9661,-42.0278,67.96,73,75,2.3,broken clouds
55,Provideniya,RU,64.3833,-173.3,36.01,83,100,11.12,overcast clouds
56,Abbeville,FR,50.1,1.8333,51.49,91,6,5.41,clear sky
